id,title,author,category_id,description,img_url,isbn
1,Lịch Sử Phật Giáo,Andrew Skilton,1,"Lịch sử Phật giáo - Hành trình từ cội nguồn Ấn Độ đến các vùng đất châu Á là một tác phẩm quan trọng của Giáo sư Andrew Skilton (Đại học Oxford), một trong những chuyên gia hàng đầu thế giới về Phật h...",https://books.google.com/books/content?id=_G5mEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9786326042986
2,Kinh điển văn hóa 5000 năm Trung Hoa,Li Yang,1,No description available...,https://books.google.com/books/content?id=IjYom-ipa9QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924095756072
3,Tạp chí cộng sản,Unknown,1,No description available...,https://books.google.com/books/content?id=vaXaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,UOM:39015081725536
4,Lịch sử Phật giáo ở Myanmar: Từ Đại thừa đến Phật giáo Đại thừa,Yuri Galbinst,1,"Phật giáo ở Myanmar: Nhân khẩu học, Lịch sử, Truyền thống, Chủ nghĩa tu sĩ, Phụ nữ, Chính trị. Đại thừa: Từ nguyên, Lịch sử, Giáo lý, Kinh thánh, Trường phái Theravāda, Phật giáo Đại thừa: Đề cương lị...",https://books.google.com/books/content?id=MA8rEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
5,Lịch sử tư tưởng Trung Quốc,Anne Cheng,1,"“Đối với vở kịch lớn của tư tưởng Trung Quốc, cuốn “Lịch sử tư trưởng Trung Quốc” của Anne Cheng có giá trị đặc biệt” – Michael Nylan Nội dung cuốn Lịch sử tư tưởng Trung Quốc được chia thành 6 phần, ...",https://books.google.com/books/content?id=BJMvEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9786043921359
6,Từ điển văn hóa giáo dục Việt Nam,"Ngọc Khánh Vũ, Minh Thảo Phạm, Thị Thu Hà Nguyễn",1,No description available...,https://books.google.com/books/content?id=_KCcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015052947788
7,Từ điẻ̂n chức quan Việt Nam,Văn Ninh Đỗ,1,No description available...,https://books.google.com/books/content?id=YL3MRiVTiiIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924126969132
8,Petit dictionnaire français-annamite,Pétrus Jean-Baptiste Vĩnh Ký Trương,1,No description available...,https://books.google.com/books/content?id=Dq4TAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,OXFORD:N11367792
9,Littérature annamite,Georges Cordier,1,No description available...,https://books.google.com/books/content?id=pLQMjjWNVXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,CORNELL:31924006847507
10,10 Tôn giáo lớn trên thế giới,Tâm Xuyên Hoàng,1,No description available...,https://books.google.com/books/content?id=2Js5W6k7ZkoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924126919608
11,Nam-Việt lược sử,Nguyen-van-mai,1,No description available...,https://books.google.com/books/content?id=dLo5AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,MSU:31293102424011
12,Thiền trong đời thường,Thông Huệ (Thích.),1,No description available...,https://books.google.com/books/content?id=EJEK4f4l8pMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924109937718
13,Từ điẻ̂n tié̂ng Việt,Đức Tịnh Bùi,1,No description available...,https://books.google.com/books/content?id=TZWLJpHq2YUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924110072315
14,Con người qua lăng kính triết gia,Công Sự Lê,1,No description available...,https://books.google.com/books/content?id=CNrmMUJYXSAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924118989858
15,"Góp phần nâng cao chất lượng sưu tầm, nghiên cứu văn hóa, văn nghệ dân gian",Unknown,1,No description available...,https://books.google.com/books/content?id=qJ2AAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015051936261
16,Character dialogue and monologue in tale of Kieu and typical Nom scholarly poetry tales,Thị Hồng Minh Lê,1,No description available...,https://books.google.com/books/content?id=cZyPsPiZ1AAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCBK:C118675723
17,Toàn tập Toàn Nhật Quang Đài,Toàn Nhật,1,"Literary criticism on the works of Toan Nhat, a Vietnamese monk....",https://books.google.com/books/content?id=CAZ6-IsefbgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924101933533
18,101 vẻ đẹp văn chương Việt Nam & thé̂ giới,Unknown,1,No description available...,https://books.google.com/books/content?id=cquTMHXgr4wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCBK:C115625029
19,Từ điển chính tả tiếng Việt,Như Ý Nguyẽ̂n,1,No description available...,https://books.google.com/books/content?id=j5jWCXNxtGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924084339526
20,Etudes littéraires,Unknown,1,No description available...,https://books.google.com/books/content?id=-XILAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015079656438
21,Những người dịch văn học Việt Nam,Thúy Toàn,1,No description available...,https://books.google.com/books/content?id=0kRkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015051934969
22,Văn học Việt Nam dưới chế độ Cộng sản,Hưng Quốc Nguyễn,1,No description available...,https://via.placeholder.com/150,OCLC:223161283
