id,title,author,category_id,description,img_url,isbn
1,Người La Ha ở Việt Nam,"Thị Thu Hương Lê, Thúy Hằng Bùi",1,"Cuốn sách tập hợp những hình ảnh chân thực và sinh động phản ánh nhiều phương diện trong đời sống của người La Ha từ nguồn gốc và phân bố dân cư, bản làng, nhà ở, nguồn sống...",https://books.google.com/books/content?id=VNKMaSBk4f8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015105346756
2,"Accessions List, Southeast Asia","Library of Congress. Library of Congress Office, Jakarta",1,Cumulative author index in final number of each volume.,https://books.google.com/books/content?id=wZ-xAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCAL:B4360386
3,Blank Verse,Khế Iêm,1,"Vietnamese New Formalism poetry is a type of modern folk poetry, not the kind of poetry that has become literature and selected for lectures in the schools under intellectual scrutiny, but the kind of poetry that permeates the common folk, reflecting their ordinary daily activities. --Dang Tien.",https://books.google.com/books/content?id=EYlkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015064303822
4,Tiểu luận & phê bình văn học,Quốc Liên Mai,1,Literary essays and criticism.,https://books.google.com/books/content?id=APoQHmHgrmAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCBK:C112425578
5,CUỘC CHIẾN VÀNG - ĐÔ QUA LĂNG KÍNH KINH TẾ CHÍNH TRỊ,TRẦN HÀN,2,"Không phải mọi cuộc chiến đều có tiếng súng. Có những cuộc chiến diễn ra trong bóng tối của ngân hàng trung ương, trong những căn phòng kín của giới quyền lực, nơi một quyết định nhỏ có thể làm sụp đổ cả nền kinh tế. Ở đó, vàng và đô la Mỹ lặng lẽ đối đầu. Một bên là kim loại cổ xưa đã tồn tại hàng nghìn năm, không thể in thêm, không thể thao túng. Một bên là đồng tiền quyền lực nhất lịch sử, được hậu thuẫn bởi sức mạnh chính trị và những cỗ máy in tiền không ngừng nghỉ. Khi khủng hoảng bùng nổ, chiến tranh nổ ra, niềm tin lung lay… dòng vốn bí ẩn luôn dịch chuyển. Ai đang điều khiển nó? Ai thực sự kiểm soát luật chơi? Cuộc chiến Vàng – USD qua lăng kính kinh tế chính trị không chỉ kể câu chuyện về tiền tệ, mà bóc tách những tầng sâu của quyền lực toàn cầu – nơi kinh tế là vũ khí, còn tiền tệ là công cụ thống trị. Sự thật đôi khi không nằm trên bảng giá. Nó nằm sau cánh cửa mà rất ít người được phép nhìn thấy.",https://books.google.com/books/content?id=Kde7EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
6,Một số vấn đề lý luận kinh tế chính trị và phát triển kinh tế Việt Nam,Unknown,2,Collection of arguments on socio-economic and political development in Vietnam.,https://books.google.com/books/content?id=5LbsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015038228899
7,"Cơ sở khoa học đẻ̂ xây dựng tiêu chí, bước đi, cơ ché̂ chính sách trong quá trình công nghiệp hoá, hiện đại hoá nông nghiệp, nông thôn",Unknown,2,Aspects of industrialization and modern agriculture for economic development in the rural area of Vietnam.,https://books.google.com/books/content?id=y7TsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015063135860
8,Góp phần tìm hiểu quyền con người ở Việt Nam,Hùng Hải Hoàng,2,On the implementation of human rights in Vietnam.,https://books.google.com/books/content?id=mAxjiGfwSFEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCBK:C100348946
9,Su Quan Ly Cong Cong Cua Viet Nam Trong Chuyen Tiep,Hai B. Pho,2,"""Preface to the English-Vietnamese bilingual edition""--P. 245.",https://books.google.com/books/content?id=6o0MAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UVA:X004612187
10,"Về phát triển văn hóa và xây dựng con người thời kỳ công nghiệp hóa, hiện đại hóa",Unknown,2,"Trình bày những nội dung cơ bản về tư tưởng Hồ Chí Minh đối với phát triển văn hoá và xây dựng con người; mối quan hệ giữa văn hoá và phát triển trong thời kỳ đổi mới, phát triển toàn diện con người và xây dựng lối sống, đạo đức và chuẩn giá trị mới, một số vấn đề dân tộc và tôn giáo, ...một số khuyến nghị và giải pháp cho các vấn đề trên.",https://books.google.com/books/content?id=GdZwAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015052966911
11,"Dong Dang-Lang Son border gate economic zone, Lang Son Province",Unknown,2,"On the activities of the Dong Dang-Lang Son economic zone and the socioeconomic development in Lang Son Province, Vietnam.",https://books.google.com/books/content?id=vpb00jqnOvIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,WISC:89117688515
12,Một số văn kiện của đảng và nhà nước về Thành phố Hồ Chí Minh,Unknown,2,Government decisions and ministerial circulars on Ho Chi Minh City development.,https://books.google.com/books/content?id=flBRAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCBK:C095135938
13,Cuộc hải chiến huyền thoại trên đảo Gạc Ma,Unknown,2,International law in Paracel Island and Spratly Island and history of sea battle in Vietnam.,https://books.google.com/books/content?id=h26jH6TTcywC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924120894583
14,Biẻ̂n đông yêu dấu,Ngọc Toản Trần,2,Territorial waters of Vietnam in the South China Sea called East Vietnam Sea includes Spratly Islands (Trường Sa) and Paracel Islands (Hoàng Sa).,https://books.google.com/books/content?id=bWyEMP-LQ7MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924117680144
15,Xây dựng đời sống văn hóa,Unknown,2,Social life in Vietnam,https://books.google.com/books/content?id=T1iSCpPvd7EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924105074995
16,Thực thi luật và chính sách bảo vệ môi trường tại Việt Nam,"Đức Khiển Nguyễn, Văn Đức Phạm, Minh Trí Đinh",2,"Giới thiệu chính sách, luật pháp các văn bản hướng dẫn thi hành luật bảo vệ môi trường Việt Nam, phân tích hiện trạng môi trường Việt Nam, ảnh hưởng của môi trường tới sức khỏe cộng đồng, phân tích diễn biến quá trình đô thị hóa ở Việt Nam, thách thức xây dựng chiến lược phát triển thành phố, trình bày sự biến đổi khí hậu thế giới nói chung và Việt Nam nói riêng.",https://books.google.com/books/content?id=DgJ8I4-0NLEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,CORNELL:31924114747276
17,Cách mạng tháng mười Nga và một số vấn đề cấp bách về thời đại ngày nay,Unknown,2,"History of the October revolution, 1917 in Russia.",https://books.google.com/books/content?id=TYXzFjOAvBAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015073832118
18,Chức năng quản lý kinh tế của Nhà nước: từ lý luận đến thực tiễn ở Việt Nam,"Nguyễn Hồng Sơn, Nguyễn Hồng Thái",2,"Nhà nước và kinh tế là hai phạm trù cơ bản xác lập mối quan hệ giữa kiến trúc thượng tầng chính trị và hạ tầng kinh tế của mọi quốc gia. Vì vậy, mối quan hệ giữa kinh tế và nhà nước luôn là một trong những mối quan hệ cơ bản có ý nghĩa quyết định đến sự thịnh, suy của một đất nước trong quá trình phát triển. Sự tương tác giữa kinh tế và nhà nước diễn ra khá phức tạp và được thể hiện cả hai chiều: kinh tế quy định tổ chức và hoạt động của bộ máy nhà nước theo nguyên lý hạ tầng kinh tế quyết định thượng tầng kiến trúc chính trị và chiều thứ hai là nhà nước tác động mạnh mẽ đến các quá trình kinh tế. Sự tác động trở lại của nhà nước đối với kinh tế có thể đưa lại những kết quả tích cực, thúc đẩy sự phát triển mạnh mẽ của đời sống kinh tế khi nhà nước tác động đúng đắn đến kinh tế, tôn trọng các quy luật khách quan của kinh tế, thực hiện tốt vai trò là “bà đỡ” của kinh tế. Ngược lại, một khi nhà nước tác động vào kinh tế một cách chủ quan, duy ý chí, áp đặt theo kiểu mệnh lệnh hành chính sẽ trở thành yếu tố kìm hãm sự phát triển lành mạnh của các quan hệ kinh tế, tạo ra nguy cơ khủng hoảng kinh tế - xã hội. Vì lẽ đó, nghiên cứu mối quan hệ giữa kinh tế và nhà nước luôn thu hút sự quan tâm của nhiều ngành khoa học xã hội: kinh tế học, chính trị học, xã hội học và luật học,…",https://books.google.com/books/content?id=ejsNEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9786047628957
19,Kinh tế Việt Nam - Thăng trầm và đột phá: Góc nhìn xuyên suốt một hành trình đổi mới,TUỆ LÂM,2,"Mỗi chặng đường phát triển của đất nước đều để lại dấu ấn kinh tế rất riêng - khi là thành tựu, lúc lại là những bài học sâu sắc. Cuốn sách “Kinh tế Việt Nam - Thăng trầm và đột phá” là một nỗ lực ghi lại hành trình ấy bằng thái độ khoa học nghiêm túc, cái nhìn đa chiều và tinh thần trách nhiệm cao độ.",https://books.google.com/books/content?id=isakEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
